Dowl & Ry,Dowling & Ryland's Reports (ER vol 171),UK! R-U,182 1-1827
DP,Recueil périodique et critique de jurisprudence (Dalloz),France,1924-1940
Drap,Draper's King's Bench Reports,Can (ON),1829-1 831
Drew,Drewry's Reports (ER vols 6 1-62),UK! R-U,185 1-1859
Drew &,Drewry & Smale's Reports (ER vol 62),UK! R-U,1860-1865
DRL,Decisions de Ia Régie du logement,Can (QC),1982-1993
DSID,Recueil Dalloz et Sirey,France,1965-
DTC,Dominion Tax Cases,Can,1920-
DTE,Droit du travail Express,Can (QC),1982-
Dy,Dyer's Reports# King's Bench (ER vol 73),UK! R-U,151 3-1 582
E & A,Grant's Upper Canada Error and Appeals Reports,Can (ON),1846-1866
E Afr CAR,Eastern Africa Court of Appeals Reports,Afr,1934-1956
E Afr LR,Eastern Africa Law Reports,Afr, 1957-1967
East,East's Reports (ER vols 102-104),UK! R-U,1800-1 812
ECHR,European Court of Human Rights,EU ! UE,1960-
ECHR (Ser A),Publications of the European Court of Human Rights: Series A: Judgments and Decisions,EU ! UE, 1960-1 999
ECHR (Ser B),Publications of the European Court of Human Rights: Series B Pleadings# Oral Arguments and Documents,EU! UE, 1961-1999
ECR,European Court Reports: Reports of Cases before the Court,EU! UE, 1954-
Eden,Eden's Reports# Chancery (ER vol 28) ,UK! R-U, 1757-1 766
Edw,Edwards's Admiralty Reports (ER vol 165) ,UK! R-U, 1808-1812
E Distr LDR,Eastern Districts' Local Division Reports ,S Afr du sud, 1911-1946
E Distr R,Eastern Districts' Reports ,S Afr du sud, 1880-1910
EHRR,European Human Rights Reports ,EU! UE, 1979-
El & Bl,Ellis & Blackburn's Reports (ER vols 118-120) ,UK! R-U, 1852-1858
El & El,Ellis & Ellis's Reports# King's Bench (ER vols 120-12 1),UK! R-U, 1858-1 861
El Bl & El,Ellis# Blackburn & Ellis's Reports (ER vol 120) ,UK! R-U,1858
ELLR,Employment and Labour Law Reporter ,Can, 1991-
ELR,Eastern Law Reporter ,Can, 1906-1915
ELR,Environmental Law Reporter of New South Wales,Austl, 1981-
EMLR,Entertainment and Media Law Reports ,UK! R-U, 1993-
Eq Ca Abr,Equity Cases Abridged# Chancery (ER vols 2 1-22),UK! R-U, 1667-1744
ER,English Reports ,UK! R-U, 1210-1865
ERNZ,Employment Reports of New Zealand ,NZ! N-Z, 1991-
Esp,Espinasse's Reports ,UK! R-U, 1793-1 807
ETR,Estates and Trusts Reports ,Can, 1977-1 994
ETR (2d),Estates and Trusts Reports (Second Series) ,Can, 1994-2003
ETR (3d),Estates and Trusts Reports (Third Series) ,Can, 2003-
EULR,European Union Law Reporter ,EU! UE, 1997-
Eur Comm'n HRCD,Collection of Decisions of the European Commission of Human Rights,EU! UE, 1960-1974
Eur Comm'n HRDR,European Commission of Human Rights: Decisions and Reports,EU! UE, 1975-1999
Ex CR,Exchequer Court of Canada Reports ,Can, 1875-1922
Ex CR,Canada Law Reports: Exchequer Court ,Can, 1923-1 970
Ex D,Law Reports# Exchequer Division ,UK! R-U, 1875-1890
Exch Rep,Exchequer Reports ,UK! R-U, 1847-1 856
F,Federal Reporter ,US! E-U, 1880-1924
F (2d),Federal Reporter (Second Series) ,US! E-U, 1925-1 993
F (3d),Federal Reporter# Third Series ,US! E-U, 1993-
F,Session Cases (Fifth Series) (Fraser) ,Scot! Ecosse, 1898-1 906
F & F,Foster and Finalson s Reports (ER vol 168) ,UK! R U, 1856-1867
Fam,Law Reports# Family Division,UK / R-U, 1972-
Fam LR,Family Law Reports, Austl, 1975-
Farm Products App Trib Dec,Farm Products Appeal Tribunal Decisions, Can (ON), 1990-1996?
F Cas,Federal Cases, US? E-U, 1789-1880
FCAD,Federal Court of Appeal Decisions, Can, 1981-1999?
FLD,Family Law Digest, Can, 1968-1 982
FCR,Federal Court Reports, Can, 1971-
FCR,Federal Court Reports, Austl, 1984-
FLR,Federal Law Reports, Austl, 1956-
FLRAC,Family Law Reform Act Cases, Can (ON), 1978-1 985
FLRR,Family Law Reform Reporter , Can , 1978-1987
Fitz-G,Fitz-Gibbons' Reports (ER vol 94) ,UK / R-U, 1727-1732
Foord,Foord's Reports ,SAfr,1880
Forrest,Forrest's Reports (ER vol 145) ,UK? R-U, 1800-1801
Fort,Fortescue's Reports (ER vol 92) ,UK? R-U, 1695-1738
Fost,Foster's Reports (ER vol 168) ,UK? R-U, 1743-1 761
